"country","ngo_id","date_added","latin_name","arabic_name","address","governorate","phone","email","date_of_creation","type_of_organization","target_group","president","director","secretary_general","treasurer","missions_and_goals","impact_of_ong","activities","building_networks_and_alliances","other","publications","training_and_capacity_building","research_resources_and_production","exchange_of_information_know.how_and_experience","website","ISO3","ISO2","FIPS","country.rev"
"Tunisia","209",2014-11-06 22:22:37,"Association Citoyenne pour la Démocratie Participative","جمعية المواطنة وتفعيل الديمقراطية التشاركية","59 نهج سد مأرب النصر 2، تونس","تونس","+ 216 71 812011, + 216  22 210746","slouati43@yahoo.com",2012-03-06,"حقوقية","الفئات الهشة: النساء والشباب","سنية اللواتي","خالد أحواس","زبيدة الذوادي","سامية جراد","تحقيق الجمعيات الاستقلال المادي ودعم نشاطاتها وترسيخ ثقافة حقوق الانسان","جهوي","تكوين شباب الاتحاد العام لطلبة تونس ببنزرت, تكوين جمعية زهوة للنساء الخزّافات بسجنان",NA,NA,"العمل مع النساء الخزّافات وبحث سبل تكوين جمعيات تنموية أخرى في الجهة",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","210",2014-11-06 22:22:50,"OTDE","المنظمة التونسية للدفاع عن التلميذ","27، نهج عمر بن أحمد ابن سينا، تونس 2066","تونس","+ 216 24 272 985","aminekrifi@gmail.com, OTDE.tn@gmail.com",2012-04-10,"ثقافية وحقوقية","التلاميذ","محمد أمين الكرفي","نزار حمدي (نائبة الرئيس)","ايهاب بن علي","أيمن الكريفي","الدّفاع عن التلميذ وتوعيته بحقوقه وواجباته, تشريك التلميذ في الحياة الاجتماعية",NA,"ندوة للتّعريف بمشاكل التلميذ, مساعدة التلاميذ بمدينة الكاف",NA,NA,"مجلة تلمذية, استشارة تلمذية لاصلاح المنظومة التعليمية",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","211",2014-11-06 22:22:57,"Association de l\'Action Civique -Kélibia","جمعية العمل المدني بقليبية","حي الرياض-قليبية 8090","نابل",NA,"action.civique.kelibia@gmail.com",2011-06-08,"حقوقية","كل الفئات","ابتسام قارة",NA,"وليد الانقليز","نجيب بوزكرة","العمل على دعم وعي المواطن بحقوقه وواجباته وتفعيل مشاركته على الصعدين المحلي والوطني",NA,"تنفيذ مشروع مقاومة الفوضى (بالتعاون مع المعهد العربي لحقوق الإنسان), تنفيذ مشروع تكوين الشباب في المجال الحقوقي (بدعم من الصندق العربي), تنظيم مجموعة من الندوات والمحاضرات والتظاهرات",NA,NA,"توزيع وإعداد 400.000 نسخة من كتيبات لنشر ثقافة حقوق الإنسان في الفضاءات العامة","التواصل- التصرف في الموارد",NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","212",2014-11-06 22:23:10,"Association Défi pour la Citoyenneté et les Arts","جمعية تحدي من أجل الفنون والمواطنة","حي التظامن","تونس","+ 216 98 376532",NA,NA,"ثقافية وحقوقية","الفئات الهشة","فاطمة جغام","وليد عافية",NA,"ابو العلاء غوار",NA,"جهوي","ورشات فنون التعبير حول الحقوق والحريات، ورشات تدريبية حول التشبيك والبرمجة وإطلاق الشبكة افتراضيا وفي الأحياء",NA,NA,"نفس المشاريع",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","215",2014-11-06 22:23:37,"Association for Children and Youth  for animation of active citizenship and digital culture","جمعية أطفال وشباب للتنشيط من أجل مواطنة فاعلة وثقافة رقمية","روضة حنان 25 نهج العمران حي سيدي سعد، القيروان","القيروان","+ 216 23 675638","kachefaghlabi@yahoo.fr",2012-11-01,"ثقافية","الأطفال والشباب","نزار خليف",NA,"جميلة الرزقاني","حمدي عيادي","ترسيخ مفهوم المواطنة وبعث راديو على الواب لنشر مفهوم المواطنة",NA,"تأسيس اكاديمية الطفولة بحي سيدي سعد, تأسيس راديو القيروان الحر",NA,NA,"اتاحة الراديو على الواب, بعث 4 اكاديميات في الأحياء ذات الكثافة السكانية العالية","التدريب الرقمي","البحث عن مصادر تمويل",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","216",2014-11-06 22:23:42,"Child echo Association of Kairouan","جمعية صدى الطفل بالقيروان","روضة حنان 25 نهج سيدي سعد، القيروان","القيروان","+ 23 675638","kachefaghlabi@yahoo.fr",2011-03-01,"اجتماعية","الأطفال والشباب","طارق الزعيري",NA,"نزار خليف","حنان المغراوي","التوعية والتحسيس بالنظافة ومخاطر التدخين","جهوي","ملتقيات تحسيسية بخطورة التدخين, نشاط للتضامن مع الأطفال المتوحدين",NA,NA,"بعث اكاديميات للأطفال","بناء القدرات المالية","كيفية اعداد المشاريع",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","217",2014-11-06 22:23:48,"Adonis","جمعية ادونيس","شارع الحبيب بورقيبة صفاقس المدينة قبالة البلدية الكبرى","صفاقس","+ 25 265625, + 23 666621, + 20 472323","adonis-sfaxh@hotmail.fr",2012-03-01,"جمعية حقوقية",NA,"ضحى بوزيد","أسامة بن يونس","كرامة الغريبي","محمد أمين الخميري","ترسيخ مبادئ المواطنة وحقوق الانسان لدى كل الفئات الاجتماعية",NA,"دورة تكوينية حول ترسيخ القيم الكونية لحقوق الانسان","ندوات ودورات تدريبية في مجال بناء التحالفات",NA,"مشاريع للحفاظ على بيئة سليمة, إنشاء مرصد وطني لرصد انتهاكات الحقوق الاقتصادية والاجتماعية","التخطيط والاستراتيجيا",NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","218",2014-11-06 22:23:56,"Association Nous sommes tous Tunisiens","الجمعية الخيرية كلنا تونسة","الرّوحية","سليانة",NA,"hedi.heblani@hotmail.fr",2011-01-01,"جمعية خيرية","الفئات الفقيرة","الهادي الجيلاني",NA,"عصام الاسود",NA,"تقديم المساعدة لمحتاجيها","جهوي","تنظيم حملات تبرّع",NA,NA,"تنطيم نفس الحملات",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","220",2014-11-06 22:24:22,"Association pour la Promotion de la Femme Arabe","جمعية النهوض بالمراة العربية","89 حي المستقبل 9100 سيدي بوزيد","سيدي بوزيد","+ 96 160612","sidibouzid@yahoo.fr",2011-01-01,"جمعية حقوقية","النساء في الوطن العربي",NA,NA,NA,NA,"الاحاطة بالنساء العربيات في المجال الاقتصادي والسياسي والاجتماعي والعمل الأهلي","إقليمي","حملة إغاثة اثر الفياضانات, حملة مساعدة للتلاميذ الأيتام والمعوزين",NA,NA,"ندوة حول \""الشباب والعمل السياسي\""",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","221",2014-11-06 22:24:34,"Association Tawasol","جمعية تواصل للنهوض بذوي الاحتياجات الخاصة","خزامة الشرقية","سوسة","+ 22 655076","yasminebh@hotmail.fr",2011-03-01,"جمعية ثقافية خيرية","النشطاء الحقوقيون وذوو الاحتياجات الخاصة",NA,NA,NA,NA,"تحسيس المواطن وتوعيته باحتياجات الفئات المهمشة (ذوي الاحتياجات الخاصة)",NA,"أنشطة ثقافية توعوية, أنشطة حقوقية (المجلس التأسيسي), أنشطة خيرية: قزافل، مساعدات",NA,NA,"توفير مواطن شغل لـ 10 أشخاص من ذوي الاحتياجات الخاصة, إنشاء مدرسة لذوي الاحتياجات الخاصة",NA,NA,NA,"www.tawasolss.tn.org","TUN","TN","TS","Tunisia"
"Mauritania","222",2014-11-06 22:24:39,"organisation arabe pour les droits de l\'homme","المنظمة العربية لحقوق الإنسان",NA,"انواكشوط","0022245441808, 0022246564840","aohrmauritania@gmail.com",2006-09-21,"حقوقية","الجمهور العام",NA,"سيد عثمان ولد الشيخ الطالب أخيار",NA,NA,"فرع من منظمة دولية غير حكومية تعمل من أجل تعزيز احترام وحماية حقوق الإنسان في الوطن العربي","إقليمي",NA,NA,NA,NA,NA,NA,NA,"www.aohr.net","MRT","MR","MR","Mauritania"
"Tunisia","223",2014-11-06 22:24:45,"Centre Masarat des Etudes Philosophiques et sociales","مركز مسارات للدراسات الاجتماعية والفلسفية","نهج المحطة","تونس","+216 98 340 483","saidbechikh@yahoo.fr",2011-01-01,"منظمة أكاديمية",NA,"فوزي العلوي","عادل بالكحلة","عادل قماطي","سعيد بالشيخ","نشر الثقافة المعرفية الاجتماعية",NA,"تنظيم ندوات أسبوعية فكرية وفلسفية حول مواضيع مختلفة ( مفهوم العدل، الحقوق الاجتماعية .....), تنظيم ندوة فكرية مغاربية بمشاركة المفكر العربي جورج قزم",NA,NA,"مواصلة تنظيم اللقات الاسبوعية, العمل على تأسيس مجلة دورية توثيقية لتوصيات الللقات الأسبوعية, العمل على تنظيم دولية حول مفهوم العدالة والعدالة الانتقالية",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Morocco","224",2014-11-06 22:24:52,"Association amies du master Genre et droits des Femmes","جمعية صديقات وأصدقاء النوع الاجتماعي وحقوق المرأة","حي البوغاز زنقة 43 رقم 1 طنجة",NA,"0553046538","fellahra@gmail.com",NA,NA,"طلبة الجامعة والتعليم الثانوي","فلاح نادية",NA,"فوزية بروازي","علي الطبيعي","مرافعة ونشر ثقافة النوع الاجتماعي","جهوي","تكوين وتدريب وحملات تحسيسية في النوع الاجتماعي, ندوات ومناظرات",NA,"ايجاد موارد لترجمة الفكر النسائي العالمي للغة العربية","ضمان استمرارية تدريس النوع الاجتماعي",NA,NA,NA,NA,"MAR","MA","MO","Morocco"
"Morocco","225",2014-11-06 22:24:59,"Centre des droits des gens","مركز حقوق الناس","38 شارع الشفشاوني فاس المدينة الجدية","فاس","0535943511","centredes fes@hotmail.com",NA,"منظمة حقوقية غير حكومية","النساء والأطفال والعاملات ومنفذوا القانون والسجناء","جمال الشاهدي",NA,NA,"العربي المنصوري","التربية على حقوق الإنسان, رصد وتتبع الانتهاكات, انجاز تقارير سنوية موازية, الاستماع للنساء الأطفال المعنفين","جهوي","القيام بدورات التكوين العام والمتخصص للمدرسين للجمعيات وللإعلاميين لمنفذي القانون",NA,NA,"مشروع خلق إذاعة حقوقية متخصصة","في المجلات الإعلامية الحديثة والإعلام الإلكتروني",NA,NA,NA,"MAR","MA","MO","Morocco"
"Morocco","226",2014-11-06 22:25:06,"youth Association for Culture and development","جمعية الشباب للثقافة والتنمية","دار الشباب الحي الحسني","مراكش","212613708200","youthcommunication@yahoo.com",NA,"منظمة غير حكومية وغير ربحية","الفئات التي تعاني من هشاشة اقتصادية واجتماعية وثقافية","عبد الغني بخاش",NA,NA,NA,"تهدف المنظمة إلأى بث روح التضامن والتكافل بين جميع الفئات داخل المجتمع والاشتغال مع الفئات في وضعيات صعبة","جهوي","تحسين التعليم وتوفير فرص للشباب وتكوينهم من أجل تسهيل ادماجهم في الحياة المهنية وتكوين الشباب دوليا ووطنيا","من أجل التعاون البناء والهادف",NA,"الإعداد لمشروع مع  المنظمة الأورومتوسطية","تدريب في عدة مجالات تمكننا من كسب مسارات تخول لنا التفكير في مشاريع بناءة","شركاء من شأنهم اعطاء قيمة مضافة للمشروع","الاستفادة من التجارب السابقة وتطبيقها محليا","www.yacd world.org","MAR","MA","MO","Morocco"
"Morocco","227",2014-11-06 22:25:20,"Comité du suivi de l\'application de la plateforme citoiyenne pour la promotion de la culture des Droits de l\'Homme","لجنة متابعة تنفيذ لأرضية المواطنة لثقافة حقوق الإنسان","ساحة الشهداء ص.ب 1341","الرباط","212537722207, 212537725856","cndh@cndh.org.ma",NA,NA,NA,NA,NA,NA,NA,"التعريف بالمواطنة وبثقافة حقوق افنسان عبر التربية والتكوين والتحسيس","جهوي","لقاءات مع المثقفين, التكوين والتربية والتحسيس",NA,NA,"عقد شراكات مع المؤسسات الثقافية والتعليمية والإعلايمة والجهزة الحكومية ذات العلاقة بغعمال القانون, انجاز برامج تحسيسية تلفزية وإذاعة, تنظيم دورات تكوينية, انجاز دلائل مرجعية حول حقوق الإنسان",NA,NA,NA,NA,"MAR","MA","MO","Morocco"
"Morocco","228",2014-11-06 22:25:27,"Association femmes du Sud","جمعية نساء الجنوب","بلوك رقم 32 الحرش 2 ايبت ملول",NA,"212228247676","femes-sud@yahoo.fr",NA,"1999","النساء والشباب","لمياء فريدي","زهرة بيو","نعيمة بن وشن","خماس عائشة","تمكين النساء من حقوقيهن","جهوي","فتح مركز لاستقبال النساء المعنفات, انجاز دراسات  ميدانية حول وضعية العاملات الزراعيات","ضرورة استمرارية التحالفات  ودعمها",NA,"انجاز راديو مجتمعي خاص بقضايا النوع الاجتمعاي, دراسات مختصة في قضايا المراة","دعم التدريب لفائدة النساء النشيطات في المجتمع المدني","توفير دراسات  علمية تسهل حملات المناصرة في مجالات حقوقية",NA,NA,"MAR","MA","MO","Morocco"
"Morocco","229",2014-11-06 22:25:33,"collectif démocratie et modernité","مجموعة الحداثة والديمقراطية","5 زنقة البروق الطابق 2 الشقة 3","البيضاء","0522251502","ascdmprojet@gmail.com",NA,NA,NA,"كمال الحبيب",NA,NA,NA,"دعم الديمقراطية بالمغرب وتعزيز ثقافة  حقوق الإنسان وروح التسامح وتقوية دولة الحق والقانون","جهوي","مراقبة الانتخابات, تقسيم عمل البرلمان المغربي, الحكامة الاقتصايدة الجيدة للجماعت الترابية",NA,NA,"تقسيم عمل البرلمان, الحكامة الاقتصادية الجيدة للجماعات الترابية بالمغرب",NA,NA,NA,"www.collectifdemo.org","MAR","MA","MO","Morocco"
"Morocco","230",2014-11-06 22:25:43,"FEDERATION DES ASSOCIATION MISSOUR MAROC","فيدرالية الجمعيات بميسور","دار الشباب3325 بميسور","ميسور","212662101839, 212535684234","FAYCELHBT@YAHOO.FR",NA,"شبكة تنظيم مكون من43 جمعية محلية ووطنية",NA,NA,NA,NA,NA,"السهر على كيفية عمل المنظمات والجمعيات والتأط","جهوي","أيام دراسية حول الإصلاحات الدستورية ،تدريب وتكوين",NA,NA,"التدريب حول تقوية القدرات لعضاء المكاتب والجمعيات المنضوية تحت الجمعيات, تدريب مديري المخيمات","الدعم المالي للمجموعة من التدريبات المستقبلية لتقوية القدرات",NA,NA,"www.forsa4all.blogspot.com","MAR","MA","MO","Morocco"
"Morocco","231",2014-11-06 22:25:49,"Ligue Marocaine pour la citoiyenneté et les droits d\'Homme","الرابطة المغربية للمواطنة وحقوق الإنسان","حي النهضة زنقة157 رقم 2641 القيطرة","الرباط","0537391066",NA,NA,"رابطة وطنية لحقوق الإنسان","ضحايا انتهاكات حقوق الإنسان وطنيا ودوليا",NA,NA,NA,"ياسر الرويسي","الدفاع على كافة ضحايا انتهاكات حقوق الإنسان, تاطير لجان لذوي الحقوق في الحصول على حقوقهم, الشراكة في تدبير المشاريع ذات البعد التنموي","جهوي","الضغط من أجل تفعيل الدولة لمجموعة من المواطنين التي صادقت عليها",NA,NA,"تاطير النساء المتقاعدات, توفير ىليات غقليمية وجهوية للدفاع عن حقوق الإنسان","تكوين مكونين في حقوق الإنسان سواء التمكن من الاليات الدولية أو الرصد والتتبع","البحث عن موارد للرابطة",NA,"www.lmcdh.org.ma","MAR","MA","MO","Morocco"
"Morocco","232",2014-11-06 22:25:57,"Mouvement Mouatinoun","حركة مواطنون","فضاء للشباب حي الأصيل عين السبع الحي المحمدي الدار البيضاء","الدار البيضاء","0663292578",NA,NA,NA,"الشخاص المنتهكة حقوقيهم, شباب وشابات راغبين في الاعرف على حقوق الإنسان",NA,NA,NA,NA,"ترسيخ ثقافة الحق الواجب, مناصرة وقضايا حقوق الإنسان, توعية الشباب بحقوق الإنسان","جهوي","مشروع التفاعل بين الشباب",NA,NA,"جريدة شهرية","آليات لترافع والتدرين والاليات الدولية لحقوق الإنسان والتخطيط للنظمات","البحث عن التمويل","الاستفادة من التراكمات  والخبرات  والمستجدات في مجال حقوق الإنسان من تشريعات وتوصيات وقوانين",NA,"MAR","MA","MO","Morocco"
"Morocco","233",2014-11-06 22:26:03,NA,"مركز المرأة والطفل","بن عميرة مقر الجماعة القديم",NA,"0661784187","femmessud@hotmail.com",NA,"اجتماعية حقوقية","النساء والأطفال",NA,NA,NA,NA,"النهوض بأوضاع النساء والطفال خاصة العاملات","جهوي","فتح مركز المراة والطفل بباب عميرة, وضع برنامج تحسيسي وتوعية المسؤولين بالمركز بشأن اوضاع الأطفال","البحث عن شبكات متخصصة في مجال حقوق النساء العاملات الزراعيات",NA,"انجاز دراسات موضوعاتية لها علاقة قضايا تربية الطفل وحقوق الطفل, تكوين وتقوية العاملات الزراعيات","تمكين النساء العاملات في المجالات الزراعية من الوعي بحقوقهن","انتاج وسائل بيداغوجية لنشر الوعي بحقوق العاملات",NA,NA,"MAR","MA","MO","Morocco"
"Morocco","234",2014-11-06 22:26:16,"commission regionale de droits de l\'homme","اللجنة الإقليمية لحقوق الإنسان","Av.Zekraoui Laoyoune","Laayoune",NA,"aboulhassanfadel@gmail.com",NA,"مؤسسة وطنية","جمعية تستهدف كل الفئات",NA,NA,NA,NA,"نشر ثقافة حقوق الإنسان","جهوي",NA,NA,NA,NA,NA,NA,NA,"cndh.ma","MAR","MA","MO","Morocco"
"Tunisia","236",2014-11-06 22:26:28,"We love Sousse","نحن نحب سوسة",NA,"سوسة","+ 73 300194, + 97 498050","benahmed.wls@gmail.com, sihem-bahmed@topnet.tn",2011-09-01,"جمعية عامة",NA,"أنيس بوفريخة",NA,"سهام بن أحمد","وليد البكلي","تحسين الحياة في المدينة","جهوي","مؤتمر شبكة \""نحن نحب\"" العربية, مشروع مع جمعية كوثر, برنامج \""مواطنون من أجل الحوار\"" \""Citizens for Dialogue\""",NA,NA,"ملتقى الارومتوسطية في شهر مارس ضمن برنامج \""مواطنون كم أجل الحوار\"", مشروع حول الحوكمة الرشيدة",NA,NA,NA,"www.welovesousse.org","TUN","TN","TS","Tunisia"
"Tunisia","237",2014-11-06 22:26:34,"Academie de Jeunesse de Développement, AJTD","أكاديمية شباب تونس للتنمية","سهلول سوسة","سوسة","+ 73 820107, + 73 820117","ajtd@ajtd.org",2011-06-25,"جمعية تنموية","الفئة العمرية من 16 الى 45 سنة","معز الشريحي","عاطف الحاج عمر","لطفي الغريبي","روضة بن محمود","إذكاء روح المبادرة لدى الشباب التونسي وتفعيل دوره في منظومة التنمية وتعزيز ثقافة احترام الاخر","جهوي","مشروع حول المشاركة المدنية والسياسية للمرأة العاملة بقطاع النسيج بولاية المنستبر, ندوة فكرية حول الضغط النفسي لدى الطلبة, المساهمة في حملات العمل التطوعي بالجهة",NA,NA,"مشروع تبادل شبابي بين بولونيا وتونس, مشروع لزيارة المبيتات الجامعية بسوسة وحث الطلبة على الانخراط في المجتمع المدني, حملة نظافة في جزيرة قوريا بالمنستير",NA,NA,NA,"www.ajtd.org","TUN","TN","TS","Tunisia"
"Tunisia","238",2014-11-06 22:26:41,"Alwen","جمعية ألوان","44 نهج صالح الورايري، سكرة","تونس","+ 98 318403, + 23 848414","meriemderghouth@gmail.com, rania.derbal@gmail.com",2011-02-01,"جمعية خيرية","الأطفال","مريم درغوث",NA,"آمال هنشيري",NA,"توفير فرص حياة أفضل للأطفال في الأماكن المهمشة","جهوي","صيانة مدرسة البحر الأزرق بالمرسىتوفير, توفير فضاء انصات للتلاميذ بالمدرسة",NA,NA,"بناء قاعات في المدرسة وخاصة قاعة للانشطة","كيفية بلورة المشاريع وكتابتها","طرق التمويل ومعايير الاختيار","مشاريع مماثلة لتبادل التجارب",NA,"TUN","TN","TS","Tunisia"
"Tunisia","239",2014-11-06 22:26:46,"Association Voix de Femmes","جمعية صوت المرأة","الهادي خفشة 5020 جمّال","المنستير",NA,"voixdelafemme@jemmel.com",2011-05-01,"جمعية نسوية","النساء والاطفال","حبيبة الميساوي",NA,"زينب بووزارة","إيمان قزارة","إدماج النساء في الشأن العام, الدّفاع عن حقوق النساء والأطفال","جهوي","حملة توعوية عن سرطان الثدي, معرض لابداعات نساء الجهة, الاحتفال بالاعياد الوطنية من خلال تقديم أنشطة خاصة بالاطفال والنساء",NA,NA,"نفس المشاريع",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","240",2014-11-06 22:26:55,"Association Femmes pour la Citoyenneté et le Développement","جمعية نساء من أجل المواطنة والتنمية بجندوبة","56 نهج 2 مارس، جندوبة","جندوبة","+ 78 611529, + 23 812951, + 98 366636","afpcdjendouba@gmail.com",2011-05-01,"جمعية حقوقية تنموية","النساء","ريم السعيدي",NA,"فوزية المازني","حنان المحجوني","التصدّي لكل المشاريع التي تسعى الى اقصاء النساء من الحياة العامة ويهدّد مكاسبها المدنية",NA,"أنشطة فكرية للنساء الريفيات, حملات صحية وتوعوية في الأرياف",NA,"التدريب والتكوين على طرق نشر ثقافة حقوق الانسان لدى نساء الأرياف","مشروع قافلة طبية للنساء في الأرياف",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","241",2014-11-06 22:27:09,"Association vive le Théâtre","جمعية يحيا المسرح","جندوبة","جندوبة","+ 216 27 720818","cheani3imed1986@hotmail.fr",2012-08-01,"جمعية ثقافية","كل الفئات","أمين دخلي",NA,"أمين شارني","وفاء عموري","فن، حرية، ثقافة وطنية","جهوي","مسرحية فوبيا, مسرحية ليالي السود, مسرحية سيناريو جاهز",NA,NA,"تكوين مقرّ ثقافي يحتوي أهم الأجهزة التقنية, نشر ثقافة المسرح مع التركيز على البعد التثقيفي والنقدي",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","242",2014-11-06 22:27:23,"Association de Citoyenneté et de Développement du nord-west","جمعية المواطنة والتنمية بالشمال الغربي",NA,"جندوبة/ باجة/ سليانة/ الكاف","+ 216 95 247583","khemiri.abid@gmail.com",2011-04-19,"جمعية حقوقية تنموية","النساء والشباب","بوجمعة العبيدي","عبيد خميري","علاء الدين بوغمدة",NA,"ترسيخ الوعي بالكرامة والحرية والعدالة الاجتماعية","جهوي","منبر المواطنة لتقصي مواقف النساء وخاصة الفلاحات حول الدستور",NA,NA,"مراقبة الانتخابات الرئاسية والبرلمانية, دورات تكوين حرفية للنساء الريفيات, التدريب على صياغة المشاريع",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","243",2014-11-06 22:27:37,"MEDEV","Centre Méditérranéen de développement Humain","Av H.Bourguiba, 4180, Houmt souk Djerba","Medenine Djerba","98237330","lotfi.saddi@yahoo.com",2012-05-15,"Individuelle","Population locale",NA,"Saddi Lotfi",NA,NA,"Recherche & Formation","جهوي","La Formation en développement Humain",NA,NA,"La recherche et la formation pour les associations de la société civile","La formation au droits de l\'homme et à la citoyenneté","La publication scientifique","La coopération avec l\'Institut Arabe pour les droits de l\'homme",NA,"TUN","TN","TS","Tunisia"
"Tunisia","244",2014-11-06 22:27:47,"Association Phénix Sidi Bourouis","جمعية فنيكس سيدي بورويس","قاعة  فيتاليس حي 09 أفريل سيدي بورويس 6113","سليانة","+216 40250545","phenix.sbr@gmail.com",2011-04-09,"منظمة حقوقية  ثقافية","كافة شرائح المجتمع وخاصة الشباب منهم","محمد صالح الفازعي","صالح المليتي","كمال الشريف","سامي المحمدي","-	نشر ثقافة المواطنة وحقوق الإنسان., -	الإحاطة والمرافقة والدعم للأنشطة الثقافية، البيئية، الإجتماعية والرياضية",NA,"-	الإحاطة والمرافقة والدعم للأنشطة الثقافية، البيئية، الإجتماعية والرياضية, إنتخابات المجلس الوطني التأسيسي أكتوبر 2011 سبقتها دورات تكوينية للملاحظين المعتمدين من قبل الجمعية بالإشتراك مع جمعيات أخرى, -	ندوات حول عدة مواضيع ( المواطنة، ثقافة التطوع، دور المجتمع المدني، مشروع مسودة الدستور...) 2012, -	لقاءات مع عدة جمعيات بإقليم الشمال الغربي ذات المرجعية الكونية لحقوق الإنسان وتأسيس شبكة جمعيات أطلق عليها الشبكة المواطنية بالشمال الغربي (2012)","-	بناء علاقات تعاون وشراكة مع الجمعيات والمنظمات الغير حكومية وطنيا، إقليميا ودوليا","-	تكوين مجموعة من شباب الجمعية في كل ما يتعلق بالإعلام والإشهار وذلك للتعريف أكثر بالجمعية ومختلف نشاطاتها على المواقع الإلكترونية...","-	توسيع الشبكة المواطنية بالشمال الغربي لتشمل أكبر عدد من الجمعيات الناشطة بالإقليم., -	دورات تكوينية للجمعيات الناشئة في عدة مجالات., -	حملة تحسيسية للترفيع في نسبة المشاركة في الإنتخابات وتكوين مجموعة من الشباب لتحقيق الأهداف المرسومة للمشروع., -	بعث مبادرة لتأسيس شبكة جمعيات وطنية .","-	تدريب مجموعة من شباب الجمعية ليصبحوا بدورهم مدربين في شتى المجالات وخاصة الحقوقية /	التدريب على إدارة المنظمات وحسن تسيير الجمعيات والتنظيم المادي لمختلف النشاطات وتنشيط ورشات العمل... -	تعزيز قدرات الجمعية المؤسسية والبشرية وذلك بتطوير القدرات البشرية والمالية، التخطيط الاستراتيجي، إدارة المنظمات وتطوير مهارات الجمعية المتعلقة باستعمال الآليات الدولية والإقليمية والوطنية لحماية حقوق الإنسان.","-	تطوير القدرات البشرية والمالية، التخطيط الاستراتيجي/ -	مصادر التمويل وكيفية الحصول عليه.","-	إقامة شبكات معلومات وتعاون بين المنظمات غير الحكومية في مختلف البلدان العربية في مجال التربية على حقوق الإنسان، والإطلاع على تجارب الجمعيات والمنظمات","https://www.facebook.com/PHENIX.SBR","TUN","TN","TS","Tunisia"
"Tunisia","245",2014-11-06 22:27:54,"Association ABRAR Caritatif Pour le Développement Social et Economique","جمعية الأبرار الخيرية التنموية بجندوبة","شارع 9 أفريل، محطة نقل المسافرين مكتب عدد 12 جندوبة 8100","جندوبة","+ 216 97 767001, + 216 22 399985, +216 78 603404","alabrarcharity@gmail.com",2011-08-28,"جمعية خيرية","الاطفال والشباب","عماد العبيدي","سامي البوسالمي","مهدي البوسالمي","الهادي العبيدي","المساهمة في إرساء ثقافة المواطنة, المساهمة في تحقيق التنمية","جهوي","دورات تكوينية, تظاهرات اجتماعية وتوزيع حقائب مدرسية, قوافل طبية",NA,NA,"محو الأمية, تقديم دروس دعم للتلاميذ, مشاريع بيئية",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","246",2014-11-06 22:28:02,"Association de Presse à Jendouba","جمعية الصحافة بجندوبة","المركب الثقافي عمر السعيدي ص.ب 592 جندوبة","جندوبة","+ 216 27 742093, + 216 97 819047","rachidkaroui2@yahoo.fr",2011-08-15,"جمعية ثقافية","كل الفئات الاجتماعية","رشيد القروي",NA,"عبدالكريم سلطاني","رفيق العيادي","تأسيس اعلام جهوي حر ومسؤول لخدمة الحانب الحقوقي والتنموي","جهوي","دورات تكوينية لتطوير كفاءات المراسلين الصحفيين الجهويين",NA,NA,"اصدار نشرية تعنى بالحقوق والتنميةبالجهة, إقامة مهرجان ثقافي, القيام بدورات تدريبية للمراسلين","تدريب الاعلاميين الجهويين على مبادئ العمل الصحفي في التحري ونقل المعلومة",NA,"المشاركة في دورات التكوين في المجال الحقوقي",NA,"TUN","TN","TS","Tunisia"
"Tunisia","248",2014-11-06 22:28:19,"Association Tunisienne du Volontariat Humanitaire","الجمعية التونسية للتطوع الانساني","اقامة الخضراء 2063، المدينة الجديدة بن عروس","تونس","+ 216 96 447061, + 216 96 049611","tunisie-volontariat@yahoo.fr, bargou_volontariat@yahoo.fr",2011-03-12,"اجتماعية طبية","الفئات الهشة","حسونة الشارني","ألفة اليحياوي","محمد علي القصداوي","سعيدة بن سليمان","تكوين المتطوّعين في الاسعافات الأوّلية والاغاثة ومجابهة الكوارث و","جهوي","تشجير طريق مقرين وبن عروس, حملات نظافة, الاهتمام والاحاطة بالاطفال المهمّشين وفاقدي السند",NA,NA,"احداث مركز جهوي لرعاية الطفولة بسليانة, التعريف بالمناطق الايكولوجية بمنطقة الشمال الغربي",NA,NA,NA,"الجمعية التونسية للتطوّع الانساني :Facebook","TUN","TN","TS","Tunisia"
