ngo_id,date_added,latin_name,arabic_name,country,address,governorate,phone,email,date_of_creation,type_of_organization,target_group,president,director,secretary_general,treasurer,missions_and_goals,impact_of_ong,activities,building_networks_and_alliances,other,publications,training_and_capacity_building,research_resources_and_production,exchange_of_information_know-how_and_experience,website
278,2014-11-06 22:33:25.428531,Adonis,جمعية حقوق وطن متضامن,تونس,شارع الطيب المهيري 3000 صفاقس,صفاقس,"+ 216 25 265625, + 216 20 472323",benbeyamed@gmail.com,2011-02-01,,,ضحى بوزيد,أسامة بن يونس,محمد بن البية,سليم الغرايري,,جهوي,,,,,,,,
279,2014-11-06 22:33:36.577397,Association de l’Essor de l'Etudiant Chebbien,جمعية الطالب الشابي,تونس,شارع محمد علي الحامي، الشابة ولاية المهدية 5016,المهدية / الشابة,+ 216 97 229387,moongamra81@gmail.com,0000-00-00,ثقافية اجتماعية,التلاميذ، الطلبة والفئات الهشة,مبروك بن منصور,,ام الخير الهذيلي المكسي,,المساهمة في نشر ثقافة وطنية والاحاطة بالتلاميذ والطلبة,,"مراقبة انتخابات المجلس الوطني التأسيسي, محاضرات وندوات فكرية ومعارض ابداعية, بعث نوادي في الجهة ومساعدات اجتماعية مختلفة",,,بعث نوادي المواطنة في بعض المؤسسات التربوية,دورات تدريبة في مجال اهتماماتنا,,,
280,2014-11-06 22:33:49.718128,Association Tunisienne pour la Lutte contre la Pauvreté,الجمعية التونسية لمكافحة الفقر,تونس,نهج الهاسيندا عدد 2 قرطاج بيرصة,تونس,,houcimod1@yahoo.fr,2011-06-01,جمعية تنموية خيرية,,ريم بن عيسى,,يسر قوبنطيني,محمد علي جدي,,جهوي,,,,,,,,
281,2014-11-06 22:33:54.834356,Association pour la Promotion de la Jeunesse Rurale,جمعية النهوض بالشباب الرّيفي,تونس,نادي الشباب,نابل,,nader2011@gmail.com,2011-01-10,ثقافية حقوقية,الأطفال والشباب في المناطق الريفية,وهيبة بلغيث,شمس الأصيل بلغيث,ابتسام بلغيث,وداد بلغيث,نشر ثقافة حقوق الانسان وخاصة لدى الأطفال والشباب من الجنسين,جهوي,"تبادل الخبرات مع منظمات ألمانية, مشروع, بعث نادي الطفل المواطن",,,,,,,
282,2014-11-06 22:34:01.008790,Appui aux Initiatives de Développement,جمعية دعم المبادرات التنموية,تونس,شارع الاستقلال أريانة,أريانة,"+ 216 71 713099, + 216 71 713994",s.hajlaoui@live.fr,1998-01-01,تنموية,الشباب والنساء الريفيات,محمد بن خالد,أيوب بن علي,الشاذلي تيشة,حسن صحراوي,"المساهمة في تحقيق أهداف التنمية الاقتصادية والاجتماعية, ادماج طالبي الشغل وتنمية قدرات الجمعيات",,"تنمية قدرات الجمعيات وتنمية قدرات مجامع التنمية الفلاحية بتوزر, الادماج الاجتماعي والاقتصادي للمرأة بحي التضامن",للضغط على السلطة,البحث عن مصادر التمويل لدعم الجمعيات,مواصلة نفس المشاريع,,مطويات الجمعية,,www.aidtunisie.org
284,2014-11-06 22:34:22.296298,Association de Citoyenneté de Moknine,جمعية المواطنة بالمكنين,تونس,نهج ابن منظور 5050 المكنين,المنستير,+ 216 93 293037,,2011-06-01,جمعية مدنية مواطنية تهتم بالشأن العام,المواطن عموما والنوع الاجتماعي: المرأة خاصة والشباب,حسن عطية,,محمد الغضاب,نادر الرحال,التحسيس بثقافة المواطنة وحقوق الانسان والديمقراطية,جهوي,تنطيم العديد من المحاضرات حول المواطنة والديمقراكية وحقوق الانسان والدستور,,,مواصلة نفس الأنشطة والمساهمة في نشر ثقافة حقوق الانسان,,,,
285,2014-11-06 22:34:35.438184,Kairouan Lumières,جمعية قيروان الأنوار,تونس,1 نهج كعب الأشعري التبان، القيروان 3100,القيروان,+ 216 24 113476,riadh_chrigui@hotmail.fr,2012-03-01,جمعية ثقافية,كل الشرائح الاجتماعية,شاكر القيرواني,,رياض الشريقي,ابتهال الشريقي,المساهمة في ارساء تقاليد ثقافية في الأحياء الشعبية,,"بعث مراكز اجتماعية وثقافية في الأحياء الشعبية, بعث نادي كليب فيديو, تنشيط الأحياء الشعبية كل 15 يوما",,,,,,,
286,2014-11-06 22:34:49.579937,Association des passionnés de la Bibliothèque et du livre,جمعية أحبّاء المكتبة والكتاب بالكاف,تونس,المكتبة العمومية بالكاف الشرقية,الكاف,"+ 216 78 227636, + 216 20 242370",jamila.hasni@yahoo.com,2011-11-01,جمعية ثقافية,الأطفال والشباب وكل مواطن/ة,زينب مزّي,,فتحي الفاريك,جميلة حسني,مصالحة التونسي مع الكتاب وتوعية وتثقيف الأطفال والشباب بالقيم العقلانية والتنويرية والثقافة التقدمية ونبذ العنف,جهوي,"محاضرات لتلاميذ الباكالوريا, مسابقات فكرية وثقافية, بعث نوادي مكتبات بدور المسنّين والمستوصفات, انجاز مصيف الكتاب, حكواتي للأطفال, ندوات للترغيب في المطالعة",,,نفس المشاريع والعمل على توسيعها وتحسيس كل الشرائح بقيمة المطالعة ودورها في المجتمع,,,,
287,2014-11-06 22:34:55.808142,Association des Sages Femmes du Kef,جمعية القابلات بالكاف,تونس,المستشفى الجهوي بالكاف قسم التوليد,الكاف,"+ 216 20 900577, + 216 98 237066",inesm007@hotmail.com,2012-07-01,جمعية صحية اجتماعية,النساء,دجلة بزيّو,جودة بوحوش,اناس منّاعي,روضة صالحي,الاحاطة الصحية والاجتماعية بالنساء والرضّع وتكوين ورسكلة القابلات,جهوي,"دورات تكوينية للقابلات, قافلات صحية وتوعوية في القرى والأرياف بجهة الكاف",,ادارة العمل الجمعياتي: تدريب المدرّبين على الحقوق الجنسية والانجابية,"نفس المشاريع مع الاحاطة بالنساء ضحايا العنف والمتابعة النفسية والاجتماعية, حملات تحسيسيّة وصحيّة لوقاية وحماية النساء من مرض سرطان الثدي وعنق الرحم",,,,
288,2014-11-06 22:35:01.915739,Association Tourisme 21 de Gafsa,جمعية سياحة 21 بقفصة,تونس,عمارة ابن شباطن قفصة,قفصة,+ 216 98 661923,kguettari@yahoo.fr,2011-01-01,جمعية تنموية,القطاع السياحي,,باسم كحواش,خالد القطاري,عبدالوهاب كرّو,تنمية وتركيز سياحة بديلة تحترم البيئة بكل مكوّناتها,جهوي,"ملتقيات لدراسة وتنمية السياحة البديلة, مهرجان كاريكاتير",,,تدريب وتوعية السكان المحليين لتقديم خدمات سياحية من ايواء ومصاحبة وبيع منتوجات,,,,
289,2014-11-06 22:35:10.050745,Association  Pensée Eclairée,رابطة الفكر التنويري,تونس,7 شارع النصر 2100 المولى، قفصة,قفصة,+ 216 76 228301,gaboussaahmed2@gmail.com,2012-09-25,جمعية ثقافية,كل شرائح المجتمع,احمد قابوسة,,ارسلان طرودي,ضحى عبدالله,الرقي بالفكر البشري,جهوي,الترغيب في المطالعة لدى الأطفال قبل بلوغ سن الدراسة,,,"تطوير المنظومة التربوية والتعليمية, انتداب اخصائيين في تربية الطفل لتطوير التعامل والانشطة في رياض الأطفال",,البحث عن مصادر التمويل,,
290,2014-11-06 22:35:18.154260,,الجمعية الوطنية للنهوض بالأرياف والمناطق الحدودية وحقوق الانسان,تونس,حي الشباب قفصة,قفصة,"+ 216 76 224550, + 216 98 911052",,2012-06-27,تنموية حقوقية,كل الفئات,يوسف رناديه,,بوترعة بوجلال,سالم صدراوي,دعم التنمية ونشر ثقافة حقوق الانسان,جهوي,حملات إغاثة للعائلات الفقيرة,,البحث عن مصادر تمويل,الدفاع عن حقوق الانسان والجهات المهمّشة,,,,
291,2014-11-06 22:35:29.269801,,جمعية حماية وصيانة واحة القصر والمحيط,تونس,2111 قصر قفصة,قفصة معتمدية القصر,,,0000-00-00,,كل الفئات,,,,,الحفاظ على البيئة والواحة,جهوي,,,,,,,,
292,2014-11-06 22:35:35.368107,Network of European Foundation,الشبكة الاوروبية للمؤسسات,بلجيكا,,,+ 216 22 286656,leila.garbouj@fikra.tn,2012-01-04,مانحة,,,,,,دعم مثبتي التغيير بالشمال الغربي,جهوي,,,,,,,,
293,2014-11-06 22:35:41.515200,Association Forum 14 Janvier pour la Femme,جمعية منتدى 14 جانفي للمرأة,تونس,دار المنظّمات بالمنستير,المنستير,+ 216 97 258198,,2011-02-01,جمعية نسائية ثقافية اجتماعية,المرأة,لطيفة الكوكي,,ثريا منصور,الهام نجاة موسى,"دعم مكتسبات المرأة والعمل على تطويرها, تعزيز دور المرأة وتمكينها من المشاركة في الحياة السياسية والاجتماعية والثقافية",,"محاضرات وندوات, حملات تحسيسية في فترة الانتخابات وحملات توعوية مع بعض مكونات المجتمع المدني أمام المصانع بالجهة, المشاركة في الشأن العام بالتنسيق مع بعض السلط المحلية",,صياغة وبعث المشاريع، مصادر التمويل، حملات المناصرة وطرق التواصل,نشر ثقافة حقوق الانسان في المناطق الريفية وخاصة في المصانع والمبيتات الجامعية,,,,
294,2014-11-06 22:35:59.596091,Académie Jeunesse Tunisie pour le Développement,اكاديمية شباب تونس للتنمية,تونس,سهلول سوسة,سوسة,"+ 216 73 820107, + 216 73 820117",ajtd@ajtd.org,2011-06-25,جمعية تنمويّة,الففئات العمرية من 16 الى 45 سنة,معز الشريحي,عاطف الحاج عمر,لطفي الغريبي,روضة بن محمود,"اذكاء روح المبادرة لدى الشباب التونسي وترسيخ ثقافة المواطنة وحقوق الانسان, تفعيل دور الشباب في منظومة التنمية وتعزيز التفتّح الايجابي واحترام الآخر",,"مشروع دعم المشاركة السياسية والمدنية للمرأة العاملة بقطاع النسيج بولاية المنستير, المساهمة في العمل التطوّعي بالجهة",,,"مشروع تبادل شبابي بين تونس وبولونيا, مشروع يستهدف المبيتات الجامعية بسوسة لانخراط في أعمال المجتمع المدني, عمل تطوّعي في جزيرة قوريا بالمنستير",,,,www.ajtd.org
295,2014-11-06 22:36:05.695346,Association Nationale de la Créativité Culturelle,الجمعية الوطنية للابداع الثقافي,تونس,باب الخضراء تونس,تونس,+ 216 23 712352,,2011-01-01,جمعية ثقافية,,,,,,,جهوي,,,,,,,,
296,2014-11-06 22:36:19.829913,Association Rahma pour le Travail Social,جمعية رحمة للعمل الاجتماعي,تونس,شارع الحبيب ثامر الاحواش، نابل,نابل,"+ 216 72 233833, + 216 21 079907",,2011-04-14,اجتماعية خيرية,الأيتام والعائلات المعوزة,رياض بن عربية,روضة القربي,نورة الكريفي,الحبيب الغرياني,مساعدة الأيتام والعائلات المعوزة: احاطة تربوية، صحية وتنموية,جهوي,"كفالة 96 يتيما, بعث 14 مشروعا تنمويا, حملات تضامن مع جهات عديدة: تالةن مكثر، الروحية",,,"توسيع النشاط على المستوى الوطني, التشبيك مع جمعيات أخرى, احداث وحدة نفسية للأيتام وأمهاتهم",,,,
297,2014-11-06 22:36:25.977337,Mouvement Mondial pour la Défense des Enfants/branche Palestine,الحركة العالمية للدفاع عن الأطفال،فرع فلسطين,فلسطين,رام الله، البيرة، سطح مرحبا، عمارة الرطاوي,رام الله,"00972 2427530, 00972 2427018",sukaina@dci-pal.org,1992-01-01,حقوق الطفل,الأطفال,رندة سينودة,رفعت قيس,خالد قرماز,حسام صبابا,الدفاع عن حقوق الأطفال الفلسطنيين,جهوي,التمثيل القانوني للأطفال في سجون الاحتلال,,,تشكيل فروع للمنظمة في البلدان العربية,,,,www.dci-pal.org
299,2014-11-06 22:36:42.859993,Association Contrat Mondial de l 'Eau,جمعية العقد العالمي للماء,المغرب,141 شارع القاضي الشنيتي، المغرب,,+0661664803,fariqabdo@yahoo.com,2006-01-01,جمعية بيئية,جميع الفئات,,,,,الدفاع عن الحق في الماء كحق من حقوق الانسان,,"العمل مع وزارة التربية لتحسيس الشباب بقيمة الماء في الحياة من خلال اقامة ندوات وحملات, وقفات احتجاجية ضد خوصصة المياه, المشاركة في لقاءات وطنية ودولية حول قيمة المياه",,,"ترسيخ مفهوم الماء كحق من حقوق الانسان, وصول الماء الى جميع الفئات, التصدي خوصصة مثادر المياه",,,,www.acme.eau.org
300,2014-11-06 22:36:50.997159,Amana Association for Education and Culture,جمعية الأمانة للتربية والثقافة,تونس,,سوسة,+ 216 52 294463,,0000-00-00,جمعية ثقافية وتربوية,التلاميذ والأولياء والمدرّسين,وداد بن عيسى,,,,,جهوي,محاضرات حول الاصلاح التربوي,,,تفعيل روح الابداع والمبادرة في المجال التربوي,,,,صفحة الفايسبوك: جمعية الأمانة للتربية والثقافة
301,2014-11-06 22:36:57.105190,Association des deux rives France-Tunisie,جمعية تونسيو الضفتين,تونس وفرنسا,,تونس,+ 216 71 833816,,2011-02-01,صبغة عامة,الأيتام وبعث مشاريع في المناطق المهمّشة,محمد الطيب صغروني,,عبدالباقي فتحي,عادل بلدي,مساعدة الأيتام وبعث مشاريع في المناطق المهمّشة,,"كفالة الايتام وتوزيع محافظ مدرسية, 19 سيارة اسعاف و4 شاحنات خاصة بالبلديات وقافلات لولاية تالة وبعض مناطق الشمال الغربي, بعث مشاريع تربية عجول بجهة سيدي بوزيد",,,"حفر ابار عميقة لايصال الماء الصالح للشراب في الجهات المحرومة بالجنوب التونسي, مشاريع للنساء الريفيات",,,,www.t2riv.org
303,2014-11-06 22:37:15.871396,Instance Nationale de la Jeunesse et de la Démocratie,الهيئة الوطنية للشباب والديمقراطية,المغرب,,الرّباط,+ 212 661354807,ahd2007@hotmail.com,2010-01-01,منظمة شبابية حقوقية,الشباب,يةسف سدريني,,الهام بالطحيلي,سفيان فتحي,"التواصل مع الشباب لتحديد قضاياه والمساعدة على حلّها, التأطير والتوعية والتكوين",,"تنظيم لقاءات على الصعيد الوطني والاقليمي والدولي, دورات تكوين وتأطير, عقد شراكات مع منظمات دولية لتبادل الافكار والتشبيك",,,"التعريف بالنموذج المغاربي للاصلاح والتغيير, التعريف بالقضية الدولية للصحراء المغربية, تشكيل جبهة عربية، اقليمية ودولية للحفاظ على مكاسب الشعوب",,,,
304,2014-11-06 22:37:21.987829,Observatoire marocain pour l'intégration des femmes dans la vie politique,فرع المرصد المغربي لإدماج المرأة في الحياة السياسية,المغرب,العيون، الساقية، الحمراء، واد الذهب، الصحراء المغربية,الدار البيضاء,+ 212 613678854,fatiha.elakri@gmail.com,2000-01-01,منظمة نسائية حقوقية,النساء,فتيحة العكري,,,فاطمة لبو شيعة,"الذّفاع عن حقوق المرأة ومناهضة العنف المسلط على النساء, ادماج المرأة في الحياة السياسية, النهوض بالنساء المهمّشات",,"حملات تحسيسية لمناهضة العنف ضذ لنساء, حملات من اجل ادماج النساء في مراكز القرار وفي الحياة السياسية, دورات تكوين وتمكين للنساء",,,التشبيك وتبادل التجارب دوليا في مجال حقوق النساء,,,,
308,2014-11-06 22:37:55.439257,Association Démocratique des Tunisiens en France ADTF,الجمعية الديمقراطية للتونسيين بالخارج,فرنسا,,25 Rue lantiez 75017 paris,"+ 33 606618579, + 33 6 99158394",atf.paris@laposte.net,1981-01-01,جمعية حقوقية اجتماعية,الجالية التونسية بالخارج,طارق التوكابري,,علي مصاورة,نورالدين مشكان,مساعدة الجالية بفرنسا,إقليمي,"تعليم اللغة العربية، دروس تحضيرية للباكالوريا, أنشطة ثقافية ورحلات",,,التشبيك مع جمعيات داخل تونس,,,,www.atf-paris.fr
309,2014-11-06 22:38:01.548252,Association Sanabel El-Khayer,جمعية سنابل الخير بالتضامن,تونس,3 نهج حسن النوري، أريانة 2041,أريانة,+ 216 70 663144,,2012-02-01,جمعية خيرية,ذوو الاحتياجات الخصوصية (أيتام، فقراء ومعوقين),يوسف العياري,,نوفل الغزي,مصباح السالمي,مد يد المساعدة للمحتاجين والمعوزين وكفالة اليتامى والتدخل عند الكوارث الطبيعية,,"حملة للأيتام استهدفت 330 يتيما, قافلة بالتنسيق مع جمعية رحمة, بناء منزل عصري بالسرس وبناء منزل وترميم اخر بحي التضامن",,توفير مجلة تعرّف بالجمعيات,توفير كراسي متحركة ذات محرك للمعاقين,,,,sanabel-al-khayer.com
310,2014-11-06 22:38:06.652996,,جمعية مرحمة للمشاريع الاجتماعية والخيرية,تونس,المركب العمراني الشمالي، عمارة نجمة الشمال شقة 4 بلوك س,أريانة,"+ 216 71 822035, + 216 71 822354",info@marhama.com,2011-01-01,جمعية خيرية تنموية,المحتاجين,مكافحة الفقر وتحقيق التنمية المستدامة للمساهمة في خدمة وبناء الانسان صحيا وتعليميا واقتصاديا واجتماعيا,,,,,,بناء وترميم اكثر من 25 منزلا وترميم مستوصفات ومدارس وطرقات في الجمهورية التونسية,,,,,,,
311,2014-11-06 22:38:14.777656,Association al-Wed Testour,جمعية الود بتستور,تونس,تستور,تستور / باجة / تونس,+ 216 22 595031,beldi.salah@hotmail.com,2011-01-01,جمعية خيرية تنموية,فاقدو السند والعائلات المعوزة والمناطق المحتاجة,بشير شلواط,حبيب الوسلاتي,فضيلة سنوسي,بحري سنوسي,عمل خيري بغاية التنمية,,مساعدات مالية واحاطة صحية واجتماعية,,,توسيع النشاط الى المجال الثقافي والتعليمي,,,,
312,2014-11-06 22:38:25.881806,Union Générale des Syndicats du Soudan,الاتحاد العام لنقابات عمّال السودان,السودان,,الخرطوم,,,1944-01-01,منظمة نقابية,العمّال,ابراهيم غندور,يوسف علي عبدالكريم,احمد عيدروس الكامل,عادل محمد صالح,الدّفاع عن حقوق العاملين بالسودان,,"الدّفاع عن الحرّيات, المشاركة في وضع دستور دائم للبلاد, توحيد الحركة النقابية",,,رفع كفاءة العمل وزيادة الانتاج ورفاهية العمّال,,,,
313,2014-11-06 22:38:38.017412,Association Amis des Orphelins,جمعية أصدقاء اليتامى,تونس,نهج 9007 فتح الله,تونس,+ 216 25 904314,amis.orphelins@gmail.com,2011-07-15,جمعية خيرية اسعافية,الأيتام والعائلات المعوزة,نزيهة عكاري,,رضا زقرني,محمد الهادي الخماسي,الإحاطة بالأيتام مادّيا ومعنوّيا,,خيمة صحّية، قافلة إغاثة للمناطق المحرومة، ختان أبناء العائلات المعوزة، مساعدات في الأعياد,,,إقامة مشاريع صغرى للارامل,,,,
314,2014-11-06 22:38:44.126323,Association Amis des Orphelins,جمعية أصدقاء اليتامى,تونس,نهج 9007 فتح الله,تونس,+ 216 25 904314,amis.orphelins@gmail.com,2011-07-15,جمعية خيرية اسعافية,الأيتام والعائلات المعوزة,نزيهة عكاري,,رضا زقرني,محمد الهادي الخماسي,الإحاطة بالأيتام مادّيا ومعنوّيا,,خيمة صحّية، قافلة إغاثة للمناطق المحرومة، ختان أبناء العائلات المعوزة، مساعدات في الأعياد,,,إقامة مشاريع صغرى للارامل,,,,
315,2014-11-06 22:38:51.239593,Association Ithar,جمعية ايثار,تونس,,أريانة,"+ 216 20 094787, + 216 25 911774",contact.ithar@gmail.com,2012-03-06,جمعية خيرية اجتماعية,المرأة,سليمان العيفة,ليلى بن عياد,نبيهة براهمي,فاتن بن حميدة,مساعدة الأسر المعوزة معنويا وماديا وخاصة النساء والاحاطة بأطفال هذه الأسر,جهوي,"معرض حرفي بحديقة عمومية, دروس تدارط لتلاميذ الباكالوريا, يوم صحّي وقافلة في الرّيف, بناء منزل لأسرة معوزة",,,مواصلة المشاريع وتطويرها وفتح فروع في مناطق أخرى في تونس,,,,
316,2014-11-06 22:39:00.347857,Popular Committees for Defending the Revolution,اللجان الشعبية للدّفاع عن الثورة بالاسكندرية,مصر,الابراهيمية,الاسكندرية,+ 201 116666070,said.ezz@gmail.com,2011-03-22,جمعية ذات صبغة عامة,كل الشرائح,سعيد عزالدين نصر,نادية محمد عادل,أحمد صفوت,عمرو الحسين,الضغط على السلطة لتحقيق أهداف الثورة,,"تنظيم الاعتصامات والمظاهرات والوقفات الاحتجاجية, تنظيم حملات تبرّع بالدم, تنظيم دورات تدريبية للمواطنين في الرقابة الشعبية",,,التمكين المجتمعي,,,,www.facebook.com/leganalesc
317,2014-11-06 22:39:07.614630,Association Tunisienne pour l'Intégrité et la Démocratie des Elections / ATIDE,الجمعية التونسية من أجل نزاهة وديمقراطية الانتخابات / عتيد,,البحيرة,تونس,+ 216 71 962510,atide@topnet.tn,2011-03-24,جمعية حقوقية دات صبغة عامة,مل الفئات,معز بوراوي,,هشام الشابي,ليليا الرباعي,"التوهية والتأطير, الإشراف والمتابعة, الإعلام والتصدّي",,"تغيير القانون الانتخابي الخاص بالعملية الانتخابية, ملاحظة انتخابات المجلس الوطني التأسيسي 23 اكتوبر 2011, تنظيم لقاءات بين الناخب والمنتخب في 16 ولاية تونسية, تقديم مشروع الهيئة العليا المستقلّة للانتخابات, ملاحظة انتخابات زمبيا ومصر, تكوين المجتمع المدني الليبي في مجال الانتخابات, ملاحظة أشغال فرز الترشّحات للهيئة العليا المستقلة للانتخابات",,,ملاحظة الانتخابات القادمة في تونس,,,,www.atide.org
318,2014-11-06 22:39:18.421897,Forum Tunisien pour les Droits Economiques et sociaux des Tunisiens,المنتدى التونسي للحقوق الاقتصادية والاجتماعية,تونس,47 شارع فرحات حشاد، تونس,تونس,+ 216 71 257665,mohamed-slimen@ftds.net,2011-03-01,منظمة حقوقية,كل الفئات,عبدالرحمان الهذيلي,,عبدالجليل البدوي,مسعود بن رمضان,"الدّفاع عن الحقوق الاقتصادية والاجتماعية, نشر ثقافة الحقوق الاقتصادية والاجتماعية",إقليمي,"تقرير حول أحداث سليانة وتقارير حول المرأة العاملة, أنشطة حول الهجرة السرّية، الحقوق الاقتصادية والاجتماعية والبيئية",,,تأطير التحرّكات الاجتماعية وإنجاز دراسات متنوّعة سعيا لتحقيق العدالة الاجتماعية ووضع حد لانتهاكات حقوق الانسان,,,,
319,2014-11-06 22:39:29.529966,Forsatin,منتدى دعم مؤيدي الحكم الذاتي بتندوف,المغرب,تجزئة الوحدة بلوك ه رقم 105 العيون، المغرب,العيون,+ 212 618894610,elkantaouis@gmail.com,2007-01-01,حقوقية شبابية,الشباب والنساء,عبدالعزيز الفقيه,سيدي عمر الكنتاوي,محمد الادريسي,عزيز الادريسي,الدّفاع عن حرّية التّعبير داخل مخيّمات تندوف,,"ندوة صحفية حول قضية مصطفى سالمي ولد سيدي مولود, ندوة وطنية حزل انتفاضة 1988, وقفة تضامنية مع الناجم علال  ومصطفى سالمي",,,"تنظيم ملتقى دولي حول حرّية التعبير بالمخيمات, تسجيل فيلم وثائقي حول معاناة الصحراويين",,,,www.forstin.org
320,2014-11-06 22:39:41.643569,Ligue Tunisienne pour la Tolérance,الرابطة التونسية للتسامح,تونس,36 نهج الجزيرة، تونس,تونس,"+216 97 514128, +216 71 322221",lt.tolerance@gmail.com,2011-03-26,جمعية حقوقية ثقافية,كل الفئات,صلاح الدين المصري,,سامي الطوسي,ضوء جلاّل,نشر ثقافة التسامح ومناهضة الصهيونية,,قوافل في الجنوب الشرقي وندوات لتجريم التطبيع وندوات ثقافية,,,تجريم التطبيع في الدستور,,,,
321,2014-11-06 22:39:53.805043,Agence de Développement,مؤسسة وكالة التنمية الاجتماعية,المغرب,167 حي المستقبل، شارع السمارة، العيون، المغرب,العيون,+ 212 66 62122906,jamilabriksin.@gmail.com,1990-01-01,,,,محمد نجيب الحديرة,,,"تقوية قدرات الفاعلين المحليين, دعم ومداعبة الجمعيات والتعاونيات",,"دعم برامج نسائية تعاونية من خلال مواكبة مشاريع تنموية, تقوية قدرات الجمعيات المحلية, برنامج المدرسة المواضبة/التعليم الأولي",,التواصل,نفس البرامج بالاضافة الى برامج خاصة حسب احتياجات كل جهة,,,زيارات ميدانية لتبادل التجارب,منظمة اجتماعية
322,2014-11-06 22:40:04.958914,Association Amistad Marroqui Espagnola,جمعية الصداقة المغربية الاسبانية,المغرب,قيادة الدشيرة، دائرة العيون، المغرب,العيون,"+ 212 662543039, + 212 661950319",sahara_sport@hotmail.fr,2002-01-01,اجتماعية سياسية ورياضية,كل الفئات,نورالدين لعزيز,,محمد فاضل حمدناه,مولود الكيرع,بث الثقافة التشاركية بين الشعبين المغربي والاسباني وتبادل الخبرات والتكوين المستمرّ في جميع المجالات,,أنشطة تحسيسية وسياسية، ندوات ومحاضرات غضافة الى أنشطة موجهة للمعوزين وذوي الاحتياجات الخاصة,,,تنطيم أنشطة عربية ومنتديات دولية ومشاريع تنموية,,,,
323,2014-11-06 22:40:17.068702,Réseau d'Observation de la Justice Tunisienne,شبكة الملاحظة للعدالة الانتقالية في تونس,تونس,شارع الحبيب بورقيبة، استوديو 38,تونس,+ 216 22736311,,2011-01-01,منظمة حقوقية,المساجين,لطفي عزديني,,قيس درميش,,الدفاع عن حق المساجين والضغط لفرض المعايير الدولية في المحاكمات,,"زيارة المحاكم وجمع القضايا التي تخص القانون الجزائي, دورات تكوين للمحامين, حملات للحد من التعذيب وإلغاء حكم الاعدام",,,فرض محاكمات عادلة وخاضعة للمعايير الدولية في المحاكمات,,,,
325,2014-11-06 22:40:37.292997,Palestinian Non-Gouvenemental Organizations Network,شبكة المنظمات الأهلية الفلسطينية,فلسطين,شارع عايدية،عمان، النفار,غزّة,"+ 97 083847518, + 97 083825779","amjad@pngo.net, pngo@planet.com",0000-00-00,شبكة منظّمات,كل الفئات,محمد انور,امجد الشوا,,يوسف عرض الله,الدفاع عن حقوق الانسان وبناء قذرات المنظمات الأهلية,إقليمي,"المساهمة في النضال الوطني في فلسطين, الدفاع عن حقوق الانسان والحق في تكوين جمعية, بناء قدرات الشباب والنساء والجمعيات",,,"المساهمة في تحقيق الديمقراطية وبناء قدرات المنطمات الأهلية, دعم دور المنطمات الأهلية في سيادة القانون",,,,www.pngoportal.org
326,2014-11-06 22:40:48.403275,Organisation Horra,منظّمة حرّة,تونس,26 نهج جمال عبدالناصر، تونس,كل الولايات,"+ 216 96 337 284, + 216 27 634 820",org.horra@gmail.com,2013-01-26,نسوية,النساء,آمال رضواني,,فوزية جماعي,ليلى الغرايري,"دسترة حقوق النساء والتصدّي لكل أشكال العنف المسلّط على النساء, النضال للقطع مع كل أشكال التمييز والتهميش",,نشاط يوم 8 مارس في اطار الاحتفال باليوم العالمي للمرأة,على مستوى وطني واقليمي وعالمي,,ندوات فكرية وحملات تحسيسية للنساء في المناذق الشعبية والجهات,,,,
327,2014-11-06 22:41:02.517555,Association Tunisie Solidaire,جمعية تونس متضامنة,تونس,المنار,تونس,"+ 216 20 306663, + 216 22 855358",tunisiesolidaire@hotmail.com,2011-07-01,جمعية ثقافية اجتماعية,كل الفئات,مريم عزوز,,هاجر صغير,نبيل قرقور,تنمية ثقافية,,"إقامة معارض فنية ترجع عائداتها الى التنمية الثقافية في الجهات, قافلة فنية في الجهات",,,التنمية الثقافية والاجتماعية في الجهات,,,,
328,2014-11-06 22:41:14.665620,Manifeste des Libertés,بيان الحرّيات,فرنسا,Rue Georges de porte-riche 75014 Paris,باريس,0033 681606543,manifeste@manifeste.org,2004-12-01,حقوقية ثقافية,كل الفئات,علال توفيق,,,,دعم الدولة المدنية وتكريس مبادئ حقوق الانسان كالحرية والمساواة بين الجنسين,إقليمي,دعم المطالب الديمقراطية للهجرة في اوروبا ودعم مضالب الحريات وحقوق الانسان في العالم العربي والاسلامي,,,لدولة مدنية، الحريات وحقوق الانسان,,,التواصل,www.manifeste.org
329,2014-11-06 22:41:26.778923,Arab Group for national development and empowerment,المجموعة العربية للتنمية والتمكين الوطني,فلسطين,شارع القدس، غزّة,غزّة,,shahinseifiddin@yahoo.com,2011-01-01,تنموية,الشباب والنساء,,محمد يحي شامية,,,التنمية والتمكين الوطني في فلسطين وبقية الدول العربية,إقليمي,"دعم و تمكين الاحزاب من بناء قدراتهم الهيكلية, تطوير العمل الاعلامي و طرق الاتصال الجماهيري للاحزاب",,,نفس النشاط,,,,
